Event FlagL3 FlagG5 TL3 TG5 TriggerFlag TT
11493 1 1 238 238 1 3
11494 1 1 236 239 1 3
11495 1 1 238 239 1 3
11496 1 1 231 237 1 3
11497 1 1 238 239 1 3
11498 1 1 237 468 1 3
11499 1 1 238 239 1 3
11500 1 1 233 467 1 3
11501 1 1 237 238 1 3
11502 1 1 234 467 1 3
11503 1 1 238 239 1 3
11504 1 1 234 467 1 3
11505 1 1 237 238 1 3
11506 1 1 235 241 1 3
11507 1 1 238 238 1 3
11508 1 1 229 236 1 3
11509 1 1 237 238 1 3
11510 1 1 236 467 1 3
11511 1 1 201 238 1 3
11512 1 1 235 239 1 3
11513 1 1 238 239 1 3
11514 1 1 236 238 1 3
11515 1 1 237 238 1 3
11516 1 1 234 239 1 3
11517 1 1 238 238 1 3
11518 1 1 234 235 1 3
11519 1 1 237 238 1 3
11520 1 1 234 238 1 3
11521 1 1 239 239 1 3
11522 1 1 232 467 1 3
11523 1 1 238 239 1 3
11524 1 1 235 467 1 3
11525 1 1 238 238 1 3
11526 1 1 234 237 1 3
11527 1 1 238 239 1 3
11528 1 1 236 242 1 3
11529 1 1 238 239 1 3
11530 1 1 233 236 1 3
11531 1 1 238 239 1 3
11532 1 1 238 242 1 3
11533 1 1 234 235 1 3
11534 1 1 467 468 1 3
11535 1 1 238 239 1 3
11536 1 1 238 239 1 3
11537 1 1 234 235 1 3
11538 1 1 234 241 1 3
11539 1 1 238 238 1 3
11540 1 1 236 237 1 3
11541 1 1 238 239 1 3
11542 1 1 236 237 1 3
11543 1 1 234 235 1 3
11544 1 1 0 0 1 3
11545 1 1 238 239 1 3
11546 1 1 233 236 1 3
11547 1 1 234 235 1 3
11548 1 1 237 238 1 3
11549 1 1 235 235 1 3
11550 1 1 237 242 1 3
11551 1 1 238 239 1 3
11552 1 1 235 467 1 3
11553 1 1 237 238 1 3
11554 1 1 233 235 1 3
11555 1 1 238 239 1 3
11556 1 1 238 239 1 3
11557 1 1 238 238 1 3
11558 1 1 238 238 1 3
11559 1 1 234 235 1 3
11560 1 1 232 467 1 3
11561 1 1 238 239 1 3
11562 1 1 235 237 1 3
11563 1 1 238 238 1 3
11564 1 1 237 239 1 3
11565 1 1 238 239 1 3
11566 1 1 232 238 1 3
11567 1 1 238 239 1 3
11568 1 1 466 238 1 5
11569 1 1 237 238 1 3
11570 1 1 235 239 1 3
11571 1 1 238 239 1 3
11572 1 1 467 239 1 5
11573 1 1 238 239 1 3
11574 1 1 234 241 1 3
11575 1 1 234 235 1 3
11576 1 1 234 236 1 3
11577 1 1 238 239 1 3
11578 1 1 236 237 1 3
11579 1 1 237 238 1 3
11580 1 1 234 236 1 3
11581 1 1 237 238 1 3
11582 1 1 238 243 1 3
11583 1 1 238 239 1 3
11584 1 1 231 468 1 3
11585 1 1 234 235 1 3
11586 1 1 235 239 1 3
11587 1 1 235 235 1 3
11588 1 1 235 236 1 3
11589 1 1 238 238 1 3
11590 1 1 235 238 1 3
11591 1 1 238 239 1 3
11592 1 1 232 236 1 3
11593 1 1 8 25 1 3
11594 1 1 236 238 1 3
