Event Calibr
12978 0
12979 1
12980 0
12981 1
12982 0
12983 1
12984 0
12985 1
12986 0
12987 1
12988 0
12989 1
12990 0
12991 1
12992 0
12993 1
12994 0
12995 1
12996 0
12997 1
12998 0
12999 1
13000 0
13001 1
13002 0
13003 1
13004 0
13005 1
13006 0
13007 1
13008 0
13009 1
13010 0
13011 1
13012 0
13013 1
13014 0
13015 1
13016 0
13017 1
13018 0
13019 1
13020 0
13021 1
13022 0
13023 1
13024 0
13025 1
13026 0
13027 1
13028 0
13029 1
13030 0
13031 1
13032 0
13033 1
13034 0
13035 1
13036 0
13037 1
13038 0
13039 1
13040 0
13041 1
13042 0
13043 1
13044 0
13045 1
13046 0
13047 1
13048 0
13049 1
13050 0
13051 1
13052 0
13053 1
13054 0
13055 1
13056 0
13057 1
13058 0
13059 1
13060 0
13061 1
13062 0
13063 1
13064 0
13065 1
13066 0
13067 1
13068 0
13069 1
13070 0
13071 1
13072 0
13073 1
13074 0
13075 1
13076 0
13077 1
13078 0
13079 1
13080 0
13081 1
13082 0
13083 1
13084 0
13085 1
13086 0
13087 1
13088 0
13089 1
13090 0
13091 1
13092 0
13093 1
13094 0
13095 1
13096 0
13097 1
13098 0
13099 1
13100 0
13101 1
13102 0
13103 1
13104 0
13105 1
13106 0
13107 1
13108 0
13109 1
13110 0
13111 1
13112 0
13113 1
13114 0
13115 1
13116 0
13117 1
13118 0
13119 1
13120 0
13121 1
13122 0
13123 1
13124 0
13125 1
13126 0
13127 1
13128 0
13129 1
13130 0
13131 1
13132 0
13133 1
13134 0
13135 1
13136 0
13137 1
13138 0
13139 1
13140 0
13141 1
13142 0
13143 1
13144 0
13145 1
13146 0
13147 1
13148 0
13149 1
13150 0
13151 1
13152 0
13153 1
13154 0
13155 1
13156 0
13157 1
13158 0
13159 1
13160 0
13161 1
13162 0
13163 1
13164 0
13165 1
13166 0
13167 1
13168 0
13169 1
13170 0
13171 1
13172 0
13173 1
13174 0
13175 1
13176 0
13177 1
13178 0
13179 1
13180 0
13181 1
13182 0
13183 1
13184 0
13185 1
13186 0
13187 1
13188 0
13189 1
13190 0
13191 1
13192 0
13193 1
13194 0
13195 1
13196 0
13197 1
13198 0
13199 1
13200 0
13201 1
13202 0
13203 1
13204 0
13205 1
13206 0
13207 1
13208 0
13209 1
13210 0
13211 1
13212 0
13213 1
13214 0
13215 1
13216 0
13217 1
13218 0
13219 1
13220 0
13221 1
13222 0
13223 1
13224 0
13225 1
13226 0
13227 1
13228 0
13229 1
13230 0
13231 1
13232 0
13233 1
13234 0
13235 1
13236 0
13237 1
13238 0
13239 1
13240 0
13241 1
13242 0
13243 1
13244 0
13245 1
13246 0
13247 1
13248 0
13249 1
13250 0
13251 1
13252 0
13253 1
13254 0
13255 1
13256 0
13257 1
13258 0
13259 1
13260 0
13261 1
13262 0
13263 1
13264 0
13265 1
13266 0
13267 1
13268 0
13269 1
13270 0
13271 1
13272 0
13273 1
13274 0
13275 1
13276 0
13277 1
13278 0
13279 1
13280 0
13281 1
13282 0
13283 1
13284 0
13285 1
13286 0
13287 1
13288 0
13289 1
13290 0
13291 1
13292 0
13293 1
13294 0
13295 1
13296 0
13297 1
13298 0
13299 1
13300 0
13301 1
13302 0
13303 1
13304 0
13305 1
13306 0
13307 1
13308 0
13309 1
13310 0
13311 1
13312 0
13313 1
13314 0
13315 1
13316 0
13317 1
13318 0
13319 1
13320 0
13321 1
13322 0
13323 1
13324 0
13325 1
13326 0
13327 1
13328 0
13329 1
13330 0
13331 1
13332 0
13333 1
13334 0
13335 1
13336 0
13337 1
13338 0
13339 1
13340 0
13341 1
13342 0
13343 1
13344 0
13345 1
13346 0
13347 1
13348 0
13349 1
13350 0
13351 1
13352 0
13353 1
13354 0
13355 1
13356 0
13357 1
13358 0
13359 1
13360 0
13361 1
13362 0
13363 1
13364 0
13365 1
13366 0
13367 1
13368 0
13369 1
13370 0
13371 1
13372 0
13373 1
13374 0
13375 1
13376 0
13377 1
13378 0
13379 1
13380 0
13381 1
13382 0
13383 1
13384 0
13385 1
13386 0
13387 1
13388 0
13389 1
13390 0
13391 1
13392 0
13393 1
13394 0
13395 1
13396 0
13397 1
13398 0
13399 1
13400 0
13401 1
13402 0
13403 1
13404 0
13405 1
13406 0
13407 1
13408 0
13409 1
13410 0
13411 1
13412 0
13413 1
13414 0
13415 1
13416 0
13417 1
13418 0
13419 1
13420 0
13421 1
13422 0
13423 1
13424 0
13425 1
13426 0
13427 1
13428 0
13429 1
13430 0
13431 1
13432 0
13433 1
13434 0
13435 1
13436 0
13437 1
13438 0
13439 1
13440 0
13441 1
13442 0
13443 1
13444 0
13445 1
13446 0
13447 1
13448 0
13449 1
13450 0
13451 1
13452 0
13453 1
13454 0
13455 1
13456 0
13457 1
13458 0
13459 1
13460 0
13461 1
13462 0
13463 1
13464 0
13465 1
