EID,Data,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
2184,2012-03-13,18:46:13,L,1,0,241,241,242,241
2185,2012-03-13,18:46:17,E,4,388,239,238,239,238
2186,2012-03-13,18:46:17,L,1,0,238,238,239,238
2187,2012-03-13,18:48:18,E,9,971,243,242,242,242
2188,2012-03-13,18:48:18,L,1,0,242,241,242,241
2189,2012-03-13,18:48:59,L,5,4924,241,241,241,241
2190,2012-03-13,18:48:59,L,1,0,242,242,242,242
2191,2012-03-13,18:49:03,L,5,1642,241,241,242,241
2192,2012-03-13,18:49:04,L,1,0,241,241,242,241
2193,2012-03-13,18:52:09,L,5,1905,243,243,472,243
2194,2012-03-13,18:52:09,L,1,0,242,242,242,242
2195,2012-03-13,18:52:34,L,5,910,243,243,243,243
2196,2012-03-13,18:52:34,L,1,0,242,242,242,242
2197,2012-03-13,18:53:48,L,5,1684,241,242,472,241
2198,2012-03-13,18:53:49,L,1,0,241,241,242,241
2199,2012-03-13,18:54:16,L,6,1553,240,239,240,239
2200,2012-03-13,18:54:16,L,1,0,242,242,242,242
2201,2012-03-13,18:55:58,E,4,440,241,240,242,240
2202,2012-03-13,18:55:58,L,1,0,242,242,242,242
2203,2012-03-13,18:56:46,L,5,1524,242,242,242,242
2204,2012-03-13,18:56:46,L,1,0,242,242,242,242
2205,2012-03-13,18:57:32,L,4,1232,242,242,242,242
2206,2012-03-13,18:57:32,L,1,0,241,241,241,241
2207,2012-03-13,18:58:53,E,14,157,472,241,242,241
