EID,UTC,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10805,2013-03-09  21:31:57,E,8,502,470,240,240,240,41,584.1,1.0,22.16701,20.8275,217.813,217.21,9.826,10.429,18.0,0.2042035,0.591608,1.5,20.0,20.0,2.5354626712282458,1.0643142790816829
10806,2013-03-09  21:31:57,C,0,6585921,242,242,242,242,0,584.1,,,,,,,,,,,,,,,
10807,2013-03-09  21:33:14,E,7,1944,238,238,238,238,77,586.6,0.0,2.2688479999999998,54.91404,730.004,1028.485,321.751,18.729,28.0,0.17278759999999999,1.847645,0.8505316999999999,29.0,47.0,0.2840351665602152,0.041316351354819966
10808,2013-03-09  21:33:14,C,0,6572604,242,242,242,242,0,586.6,,,,,,,,,,,,,,,
10809,2013-03-09  21:35:25,L,7,2862,242,242,242,242,131,581.5,0.0,1.919129,197.891,972.63,1456.6760000000002,506.808,7.361,31.0,0.2513274,1.9924099999999998,1.17727,33.0,57.0,0.342086904011249,0.009697907827359709
10810,2013-03-09  21:35:25,C,0,6564721,242,242,243,242,0,581.5,,,,,,,,,,,,,,,
10811,2013-03-09  21:37:08,L,6,1638,240,240,470,240,103,586.2,0.0,0.9340455,28.289040000000004,439.998,879.959,471.067,31.106,37.0,0.1099557,1.9668299999999999,0.9466276,38.0,77.0,0.2375227485509513,0.03301792306279849
10812,2013-03-09  21:37:08,C,0,6545455,242,242,243,242,0,586.2,,,,,,,,,,,,,,,
10813,2013-03-09  21:42:04,L,7,2437,241,241,470,241,296,588.7,0.0,0.7401788,40.04687,488.33,1109.779,659.746,27.712,30.0,0.1099557,1.64611,0.9289853000000001,31.0,73.0,0.23965628472539202,0.018482810358664156
10814,2013-03-09  21:42:04,C,0,6541832,242,242,243,242,0,588.7,,,,,,,,,,,,,,,
10815,2013-03-09  21:42:39,E,11,263,469,239,240,239,35,589.0,1.0,4.8473440000000005,1.3681860000000001,140.35,81.927,28.954,59.88,7.0,0.01570796,0.7559289,1.8257419999999998,7.0,3.0,5.635536181599442,3.542897487912764
10816,2013-03-09  21:42:39,C,0,6544726,242,242,243,242,0,589.0,,,,,,,,,,,,,,,
10817,2013-03-09  21:46:03,E,7,1290,239,239,240,239,204,587.0,0.0,1.7992009999999998,21.19793,438.764,653.85,243.866,30.845,29.0,0.2042035,2.304886,1.087968,32.0,49.0,0.30826241049913716,0.08487628819199897
10818,2013-03-09  21:46:03,C,0,6535284,242,242,243,242,0,587.0,,,,,,,,,,,,,,,
10819,2013-03-09  21:47:44,E,28,1969,238,237,238,237,101,586.0,1.0,33.91045,0.6619343000000001,824.024,306.978,24.3,463.759,30.0,0.2984513,0.9045340000000001,2.185813,33.0,9.0,8.86052670951746,51.22933116398443
10820,2013-03-09  21:47:44,C,0,6535379,243,242,243,242,0,586.0,,,,,,,,,,,,,,,
10821,2013-03-09  21:48:20,E,20,910,239,238,241,238,36,585.9,1.0,124.1987,1.3899110000000001,511.202,289.538,4.116,208.314,29.0,0.43982299999999996,0.75,2.09165,32.0,16.0,5.577733333333334,89.3573058593577
10822,2013-03-09  21:48:20,C,0,6538570,243,243,243,243,0,585.9,,,,,,,,,,,,,,,
