EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,EAS,H,UTC
2038,L,3,11,472,239,472,239,6,0.0,498.3,2012-03-13 17:40:53
2039,C,0,4361715,242,242,242,242,0,0.0,498.3,2012-03-13 17:40:53
2040,E,4,47,472,241,472,241,4,0.0,498.3,2012-03-13 17:40:57
2041,C,0,4372134,241,242,242,241,0,0.0,498.3,2012-03-13 17:40:57
2042,L,2,7,472,241,472,241,2,0.0,498.3,2012-03-13 17:40:59
2043,C,0,4360863,242,242,242,242,1,0.0,498.3,2012-03-13 17:41:00
2044,E,7,39,472,240,472,240,12,0.0,498.3,2012-03-13 17:41:12
2045,C,0,4371746,240,242,242,240,1,0.0,498.3,2012-03-13 17:41:13
2046,L,3,12,472,242,472,242,2,0.0,498.3,2012-03-13 17:41:15
2047,C,0,4364497,242,242,242,242,0,0.0,498.3,2012-03-13 17:41:15
2048,L,3,16,472,242,472,242,1,0.0,498.3,2012-03-13 17:41:16
2049,C,0,4365016,242,242,243,242,1,0.0,498.3,2012-03-13 17:41:17
2050,L,3,12,472,239,472,239,1,0.0,498.3,2012-03-13 17:41:18
2051,L,3,11,472,241,472,241,4,0.0,498.3,2012-03-13 17:41:22
2052,C,0,4377840,240,241,243,240,1,0.0,498.3,2012-03-13 17:41:23
2053,E,4,15,472,239,472,239,4,0.0,498.3,2012-03-13 17:41:27
2054,L,3,17,472,239,472,239,9,0.0,498.3,2012-03-13 17:41:36
2055,C,0,4369877,239,242,242,239,0,0.0,498.3,2012-03-13 17:41:36
2056,L,4,787,243,472,472,243,3,0.0,498.3,2012-03-13 17:41:39
2057,L,3,10,472,240,472,240,6,0.0,498.3,2012-03-13 17:41:45
2058,C,0,4374824,240,241,242,240,0,0.0,498.3,2012-03-13 17:41:45
2059,E,4,19,472,239,472,239,2,0.0,498.3,2012-03-13 17:41:47
2060,C,0,4371371,240,242,242,240,1,0.0,498.3,2012-03-13 17:41:48
2061,L,3,13,472,239,472,239,1,0.0,498.3,2012-03-13 17:41:49
2062,C,0,4377634,241,242,242,241,1,0.0,498.3,2012-03-13 17:41:50
2063,L,5,1201,242,242,243,242,553,0.0,498.3,2012-03-13 17:51:03
2064,L,1,0,238,238,238,238,1,0.0,498.3,2012-03-13 17:51:04
2065,E,12,256,472,239,241,239,5,1.0,498.3,2012-03-13 17:51:09
2066,L,1,0,242,242,242,242,0,0.0,498.3,2012-03-13 17:51:09
2067,E,5,770,241,241,242,241,105,0.0,498.2,2012-03-13 17:52:54
2068,L,1,0,242,241,242,241,0,0.0,498.2,2012-03-13 17:52:54
2069,E,7,110,472,242,243,242,27,1.0,498.2,2012-03-13 17:53:21
2070,L,1,0,241,241,242,241,1,0.0,498.2,2012-03-13 17:53:22
2071,E,4,96,472,241,241,241,14,1.0,498.2,2012-03-13 17:53:36
