EID,UTC,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10827,2013-03-09  21:52:27,7,2777,241,241,470,241,3,586.5,0.0,0.5906812,382.7512,422.74699999999996,1158.205,715.694,3.0260000000000002,30.0,0.26703540000000003,1.778002,0.9580231,31.0,73.0,0.22881398749678586,0.0015432512813342654
10829,2013-03-09  21:54:57,9,209,244,237,238,237,150,586.1,1.0,12.94675,1.585475,173.60299999999998,110.79299999999999,13.409,69.88,8.0,0.1727876,0.8944271999999999,2.160247,10.0,3.0,8.050765152639963,8.165850211061944
10831,2013-03-09  21:55:56,8,76,469,242,470,242,59,587.5,0.0,0.9511554,0.05692202,36.551,3.233,38.428000000000004,56.797,1.0,0.5183628,1.612452,0.0,5.0,0.0,10.0,16.70979699370539
10833,2013-03-09  21:56:00,19,146,245,241,469,241,4,587.6,0.0,0.8144745,0.04671171,43.699,3.339,53.653,71.48100000000001,1.0,0.7696901999999999,2.360387,1.0,7.0,0.0,10.0,17.436193851512197
10861,2013-03-09  21:56:21,11,123,238,225,471,225,1,588.8,0.0,0.8373427,0.05443496,32.998000000000005,3.117,39.408,57.261,1.0,1.099557,3.291403,3.0,6.0,0.0,10.0,15.382444246064074
10863,2013-03-09  21:56:21,7,65,469,239,470,239,0,588.8,0.0,2.18317,0.8978978999999999,72.8,17.94,33.346,19.98,1.0,1.2095129999999998,2.03101,1.0,8.0,2.0,1.9694634689144808,2.4314238850106524
10889,2013-03-09  21:56:38,9,144,234,234,469,234,2,588.5,0.0,1.648522,0.9762331,40.613,26.165,24.636,26.802,1.0,0.8011060999999999,2.144761,2.345208,5.0,2.0,2.733647245543909,1.6886565911616571
10929,2013-03-09  21:57:01,21,278,417,232,470,232,1,588.2,0.0,0.8720732,0.1867372,39.293,12.469000000000001,45.056999999999995,66.773,1.0,1.303761,2.483277,2.236068,6.0,2.0,2.7013514803221708,4.670056986460363
10996,2013-03-09  21:57:36,29,393,237,240,469,237,0,586.2,0.0,0.6182505,0.06677452,53.368,3.013,86.321,45.122,1.0,1.036726,2.360387,2.0,7.0,0.0,10.0,9.258778069597994
11014,2013-03-09  21:57:47,35,2637,242,241,243,241,0,585.8,1.0,84.7532,0.5351561,1456.399,475.56699999999995,17.184,888.6510000000001,34.0,0.3141593,1.078036,1.968502,37.0,8.0,8.445285454289097,158.37098981299215
11028,2013-03-09  21:57:55,12,114,238,251,469,238,1,586.6,0.0,0.8115475999999999,0.8921585999999999,52.778999999999996,35.077,65.035,39.317,1.0,0.2984513,1.0,2.160247,4.0,3.0,2.880329333333333,0.9096450123427676
11044,2013-03-09  21:59:00,12,625,243,241,243,241,51,590.7,1.0,5.487097,0.2823332,365.501,86.32,66.611,305.738,15.0,0.3455752,1.283378,1.341641,17.0,5.0,3.5543537445709683,19.43482366476193
11046,2013-03-09  21:59:48,31,1291,239,236,237,236,48,589.8,1.0,61.13224,0.6026488,640.238,214.81900000000002,10.472999999999999,356.458,21.0,0.2356194,0.8075729,1.936492,23.0,4.0,13.788017156098228,101.4392475714547
11048,2013-03-09  22:03:25,7,58,257,237,239,237,217,582.3,0.0,30.787340000000004,0.02339969,133382.3,33.064,4332.375,1413.01,3.0,1.083849,2.0,0.8164965999999999,12.0,6.0,0.8164965999999999,1315.715539495591
11050,2013-03-09  22:04:26,7,3598,240,240,240,240,61,586.3,0.0,1.024183,285.0453,878.202,1725.379,857.466,6.053,25.0,0.14137170000000002,1.593255,1.008299,26.0,60.0,0.27423705977176704,0.003593053463105989
